question_message,reply_message
Как добраться до Красной Поляны?,"До Красной Поляны можно добраться на электричке Ласточка с вокзала Сочи, время в пути около 40 минут. Также ходят автобусы №105, 135."
Где можно покушать в Сочи?,"В Сочи много отличных ресторанов: кафе Фрегат на набережной, ресторан Мзымта в центре, столовая №1 для бюджетного варианта."
Какая погода в Сочи сейчас?,Актуальную погоду в Сочи можно посмотреть на Яндекс.Погода или Gismeteo. Средняя температура летом +25...+30°C.
Сколько стоит билет в дендрарий?,"Билет в дендрарий стоит 250 рублей для взрослых, 100 рублей для детей. Студентам скидка 50%."
Как купить билет на поезд?,"Билеты на поезд можно купить на сайте РЖД, в приложении или в кассах на вокзале. Рекомендуем покупать заранее."
Где остановиться в Адлере?,"В Адлере много отелей: Имеретинский отель, Оазис, Бридж Резорт. Цены от 2000 руб/ночь."
Что посмотреть в Сочи за 3 дня?,"За 3 дня можно посетить: дендрарий, Олимпийский парк, Красную Поляну, набережную Сочи, парк Ривьера."
Есть ли бесплатный WiFi в аэропорту?,"Да, в аэропорту Сочи есть бесплатный WiFi сеть 'Airport_Free'. Работает по всему терминалу."
Как доехать до Олимпийского парка?,"До Олимпийского парка ходят электрички Ласточка, автобусы №124п, 125с. Время в пути от ж/д вокзала 30 минут."
Где можно купить сувениры?,"Сувениры можно купить на рынке у моря, в торговых центрах Молл и Атриум, а также в сувенирных лавках на набережной."
